contents,date,day,month,related,title,year
小微企业融资难、融资贵问题，是一个世界性难题。甚至，外延更为丰富的普惠金融，在很多时候、在不少地区还存在着“雷声大，雨点小”的尴尬局面。如尤努斯教授开创的格莱珉模式被全世界赞美并获得了诺贝尔和平奖，但仍然难以被普遍复制和推广。在我国，就小微企业的融资难、融资贵问题，究其原因，主要是：第一，与小微企业资产规模较小、固定资产少、抵押物不足等方面有关，这些因素导致其信用风险较高。央行行长易纲在陆家嘴金融论坛指出，2018年3月末，小微企业贷款不良率2.75%，比大型企业高1.7个百分点。第二，与现行的财税金融政策不完善有关。小微金融业务普遍存在收益低、风险高、成本高，需要政策配套支持，特别是小微企业信用体系、以政府为主导的融资担保和风险分散机制等亟待建立。解决小微企业融资难题，需要形成财税、金融、产业的政策合力。第三，与金融机构业务模式不健全有关。普惠金融服务覆盖面和渗透率偏低，符合小微企业发展特征的金融产品体系有待构建。在当前去杠杆的背景下，表外融资回表、存款成本持续上升，银行资金成本向末端传导，小微企业融资成本有所上升。小微活、就业旺、经济兴，采取切实措施、助力小微企业走出融资困境关系重大。长期以来，我国中央银行、监管部门和金融机构为此采取了一系列措施。2014年开始，央行就对小微企业和“三农”领域实施定向降准政策。今年来，央行更是连续三次实施定向降准，对银行业金融机构服务小微企业提供了较多的资金支持。在5月份社会融资规模增量明显减少的情况下，金融机构对实体经济尤其是小微企业能否加大支持力度备受关注。而央行的定向降准，从正面激励的角度提高商业银行开展小微企业业务的意愿，有助于增加小微金融服务的供给。在监管政策方面，2013年，中国银监会提出小微金融服务“两个不低于”要求，即确保小微企业贷款增长增速不低于各项贷款增长平均水平、贷款增量不低于上年同期水平。2015年，中国银监会将小微企业金融服务工作目标调整为“三个不低于”，从增速、户数、申贷获得率三个维度更加全面地考查小微企业贷款增长情况，即：在有效提高贷款增量的基础上，努力实现小微企业贷款增速不低于各项贷款平均增速、小微企业贷款户数不低于上年同期户数、小微企业申贷获得率不低于上年同期水平。2018年，中国银监会对小微金融服务的考核突出小额、分散，将原来的“三个不低于”改为“两增两控”：总量明显增长，户数明显增加，贷款质量和综合成本得到有效控制。2017年以来，随着金融监管政策不断加强，市场利率中枢有所上移，表外渠道收紧对小微企业融资的“挤出”效应可能加剧。在这种形势下，央行和银保监会采用差别化的准备金率和差异化的信贷政策，引导金融机构进一步加强对小微企业的信贷支持，将进一步增强对小微企业、“三农”等领域服务能力，非常及时，具有积极意义。综上所述，近年来我国习惯于依赖金融措施特别是货币政策、信贷政策来缓解小微企业融资难、融资贵问题，尚未建立起更加切实有效、长期持续的综合性、一篮子的制度机制。小微企业融资问题是长期形成的，原因是多方面的。因此，缓解小微企业融资难融资贵问题，不能一味指望货币政策、信贷政策，更不能只依靠央行、监管部门出台措施。要真正缓解这个世界性难题，应该多部门联动，采取全方位、立体式的措施，综合施策，精准发力，协同推进，并探索和建立长效机制。正如易纲行长所说，“小微企业贷款需要央行、监管、商业银行和财政部几家一起抬”。6月25日，央行、银保监会等五部门联合印发《关于进一步深化小微企业金融服务的意见》，从货币政策、监管考核、内部管理、财税激励、优化环境等方面提出短期精准发力、长期标本兼治的23条具体措施，将金融服务小微企业工作推向深入，具有重要意义。总体来看，此意见实现了“五个综合”：第一，既加大货币政策支持，又加大财税政策激励。货币政策方面，在定向降准的基础上，《意见》提出增加支小支农再贷款和再贴现额度1500亿元、通过资产证券化盘活信贷资源1000亿元，相关贷款作为中期借贷便利(MLF)担保品。财税激励方面，将符合条件的小微企业等贷款利息收入免征增值税单户授信额度，由100万元提高到500万元；提高国家融资担保基金支持的融资担保公司支持小微企业融资的担保金额占比，并适当降低担保费率和反担保要求。第二，既加强监管外部考核，又鼓励提升内部管理。《意见》要求银行业金融机构要努力实现“两个高于”，即：单户授信总额1000万元及以下小微企业贷款，同比增速高于各项贷款同比增速，有贷款余额的户数高于上年同期水平。同时，银行业金融机构要提升经营管理效率，进一步缩短融资链条，清理不必要的“通道”和“过桥”环节，减少和限制向小微企业收费；改进信贷政策导向效果评估，着力提高金融机构支持小微企业的精准度。第三，既增加信贷资金投入，又完善组织架构体系。金融机构开展小微企业金融服务，需要搭建更为专业的组织机构体系。《意见》一方面要求大型银行继续深化普惠金融事业部建设，向基层延伸普惠金融服务机构网点；同时，鼓励未设立普惠金融事业部的银行增设社区、小微支行。另一方面，《意见》强调要推进民营银行常态化设立，并引导地方性法人银行业金融机构继续下沉经营管理和服务重心。这将进一步增加小微金融服务的供给主体。第四，既提升间接融资水平，又丰富直接融资方式。在要求金融机构改进和提升信贷管理水平、提升金融服务效率的同时，《意见》提出，要支持发展创业投资和天使投资，完善创业投资、天使投资退出机制；持续深化新三板分层、交易制度改革，完善差异化的发行、信息披露等制度；规范发展区域性股权市场。目前小微企业融资渠道相对单一，依赖银行业金融机构的信贷投入，或从民间借贷融资。如果增加直接融资渠道将有助于打开融资新局面。第五，既注重提高短期效果，又注重建立长效机制。一方面，坚持问题导向，采取征对性措施，打消对实体经济特别是小微企业融资困境的担忧，稳定市场预期。另一方面，提出深化落实小微企业授信尽职免责办法；运用现代金融科技等手段，推进小微企业应收账款融资专项行动，并发挥保险增信分险功能。同时，要求和引导小微企业聚焦主业，健全财务制度，提升自身信用水平。下一步，还应进一步完善服务小微企业的相关基础设施建设。此外，《意见》还强调要推动建立联合激励和惩戒机制，依法依规查处小微企业和金融机构内外勾结、弄虚作假、骗贷骗补等违法违规行为，确保政策真正惠及小微企业。对金融机构而言，缓解小微企业融资难融资贵问题，不仅要做好“加法”，还要做好“减法”，如退出对“僵尸企业”、“三高”行业等金融支持。对持续亏损3年以上且不符合产业结构调整方向的“僵尸企业”，应坚决掐断对其金融供给。金融机构和地方政府不应通过补贴和贷款等方式继续为其“输血”；而是要拿出“壮士断腕”的决心，采取关闭破产等方式予以“出清”。将从“僵尸企业”退出的资金用于服务具有成长性的小微企业，也有助于降低小微企业融资成本。值得注意的是，今年以来的三次定向降准，加上《意见》提出的措施，央行累计释放长期资金将超过1.75万亿元。央行原行长助理张晓慧曾撰文指出，货币政策主要是总量政策，结构引导功能是边际的和辅助性的，要注意避免过量使用结构性工具导致总量偏多等问题。这从另一个角度提醒我们，依靠“面多加水”的做法空间不大，而且可能带来副作用。下一步，有关方面要在财税政策等方面加大力度，进一步深化综合施策，以打持久战的精神不断发力，久久为功，推动我国小微企业走出融资困境。(作者系中国人民大学重阳金融研究院高级研究员、兰州大学经济学院兼职教授),20180630,30,06,"[""保险"",""陆家嘴"",""银行""]",缓解小微企业融资困境应综合施策,2018
据国家统计局30日消息，2018年6月份，中国制造业采购经理指数(PMI)为51.5%，比上月回落0.4个百分点，仍高于上半年均值0.2个百分点，制造业总体继续保持扩张态势。从企业规模看，大型企业PMI为52.9%，比上月回落0.2个百分点，保持在临界点之上；中型企业PMI为49.9%，比上月下降1.1个百分点，落至临界点以下；小型企业PMI为49.8%，比上月回升0.2个百分点，仍低于临界点。从分类指数看，在构成制造业PMI的5个分类指数中，生产指数、新订单指数和供应商配送时间指数高于临界点，原材料库存指数和从业人员指数低于临界点。生产指数为53.6%，低于上月0.5个百分点，仍处于扩张区间，表明制造业生产保持增长，增速有所放缓。新订单指数为53.2%，比上月回落0.6个百分点，继续高于临界点，表明制造业市场需求保持扩张，增幅有所收窄。原材料库存指数为48.8%，比上月下降0.8个百分点，位于临界点以下，表明制造业主要原材料库存量继续减少。从业人员指数为49.0%，微低于上月0.1个百分点，位于临界点以下，表明制造业企业用工量收缩。供应商配送时间指数为50.2%，高于上月0.1个百分点，位于临界点之上，表明制造业原材料供应商交货时间有所加快。,20180630,30,06,"[]",6月制造业PMI为51.5% 比上月回落0.4个百分点,2018
针对今年前5个月全国规模以上工业企业利润数据与去年同期数据的差异问题，国家统计局工业司有关负责人29日回应称，这一数据是真实可靠、实际可比的，数据相比略有差异，主要原因在于企业调查范围变化、剔除重复计算和非工业生产经营活动剥离。日前，国家统计局发布数据，2018年1至5月份，全国规模以上工业企业实现利润总额27298.3亿元，同比增长16.5%。去年同期国家统计局公布的数据显示，2017年1至5月份，全国规模以上工业企业实现利润总额29047.6亿元，同比增长22.7%。简单对比显示，今年前5个月的利润数值比去年减少。为何数据显示仍同比增长？国家统计局说明了三方面原因：一是加强统计执法，进一步规范了规模以上工业企业统计范围。按照中央建立高质量统计体系要求，国家统计局对不符合规模以上工业统计要求的企业进行了剔除。此外，根据制度规定每年定期要对规模以上工业企业调查范围进行调整。每年有部分企业达到规模标准纳入调查范围，也有部分企业因规模较小而退出调查范围，还有新建投产企业、注(吊)销企业等变化，带来数据略有减小。二是加强数据质量管理，剔除跨地区、跨行业重复统计数据。近年来企业跨地区、跨行业经营越来越普遍，国家统计局统计执法检查发现，部分企业违反统计制度，将下属跨地区法人企业包含在本企业当中进行统计，造成同一法人在不同地区间和不同行业间，被重复统计。根据国家统计局最新开展的企业组织结构调查情况，去年四季度开始，对企业集团(公司)跨地区、跨行业重复计算进行了剔重。三是实施“营改增”政策后，一些非工业生产经营活动剥离。在实施“营改增”政策前，部分工业企业将本应缴纳营业税的非工业生产经营活动纳入本企业的财务核算，用以抵扣销项税。在“营改增”政策实施后，服务业企业改交增值税且税率较低，工业企业逐步将内部非工业生产经营活动剥离，转向服务业，也使工业企业财务数据有所减小。国家统计局工业司有关负责人说，应当看到，国家统计局发布的规模以上工业企业利润总额，与财政部的国有企业数据和上市公司财务季报数据总体趋势一致，是反映企业实际情况的。,20180629,29,06,"[]",国家统计局释疑工业利润数据差异,2018
今日，内蒙古自治区住房资金管理中心网站发布《关于进一步规范调整住房公积金提取政策的通知》称，为进一步规范住房公积金提取业务，按照《关于开展治理违规提取住房公积金工作的通知》(建金[2018]46号)要求，对提取业务政策进行部分调整。具体通知如下：一、优先支持提取住房公积金支付房租，重点支持提取住房公积金在缴存地或户籍地购买普通住房和第二套改善型住房。不再支持非缴存地及非户籍地购房提取。二、取消装修住房、购买车库、车位和缴纳购房维修基金、契税、办证费提取使用住房公积金。三、缴存职工与单位解除或终止劳动关系的，先办理个人账户封存。账户封存期间，在异地开立住房公积金账户并稳定缴存半年以上的，办理异地转移接续手续；未在异地继续缴存的，封存满半年后方可提取。四、重大疾病提取住房公积金的，中心需与相关部门进一步核查后方可办理。业务自受理提取申请之日起3个工作日内办理完结，如有特殊情况适当延长办理时限。五、对违规提取住房公积金的缴存职工，中心将记录其失信行为，并随个人账户一并转移；对已提取资金的，责令其限期全额退回，在一定期限内限制其住房公积金提取和贷款。对逾期仍不退回的，列为严重失信行为，并依法依规向相关管理部门报送失信信息，实施联合惩戒。机关、事业单位及国有企业缴存职工违规提取住房公积金情节严重的，中心将向其所在单位通报。六、本通知自2018年7月9日起执行，此前有关规定与本通知不一致的，以本通知为准。,20180702,02,07,"[]",内蒙古规范住房公积金提取政策 优先支持提取公积金付房租,2018
自2016年10月份国务院发布《关于市场化银行债权转股权的指导意见》以来，债转股一直存在“落地难”的问题。截至去年底，五大国有商业银行债转股项目签约金额共计约1.6万亿元，落地金额只有约2300亿元。债转股“落地难”既有制度上的原因，也有资金上的制约，更有由信息不对称造成的博弈难题。按照去年8月份原银监会发布的《商业银行新设债转股实施机构管理办法(试行)》(征求意见稿)，债转股实施机构应当由一家境内注册成立的商业银行作为主出资人。主出资人是指拟设实施机构的最大股东，其出资比例不低于拟设实施机构全部股本的50%，这就需要将实施机构财务纳入商业银行财务并表管理，进而造成银行资本消耗过大。所以，在资本紧约束的当下，银行没有积极性开展债转股业务。债转股“落地难”的另一个主要原因是缺少资金，由于过去对债转股实施机构如何融资没有明确规定，导致其只能以自有资金开展业务。新发布的《金融资产投资公司管理办法(试行)》(简称《办法》)，不再要求主出资银行持股超50%，有效减轻了商业银行资本负担。此外，《办法》也拓宽了金融资产投资公司的多种资金，加上不久前央行定向降准又释放了大约5000亿元资金用于债转股，债转股落地“资金难”的问题有望缓解。但是，由于信息不对称造成的债转股双方博弈难题还需要进一步加以解决。转股定价是当前债转股双方博弈的核心。企业经营如何，市场前景好坏，是上市还是非上市股票等都会影响转股定价。从债转股实施机构来看，往往只能从企业报表上了解其经营情况，企业真实前景如何，有无其他风险负担？并不完全清楚。同时，在操作过程中还会受到地方政府态度以及其中难以估量的道德风险影响。在这些干扰因素作用下，债转股价格是否公平公允，实施机构也拿不准。从企业方面看，如果债转股定价较低，则会影响原大股东控股地位，进而造成经营团队不稳定。双方的担心无法消弭，转股自然也只能停留在意向层面。要加快推进市场化债转股，需要破解博弈难题。一方面要有针对性地加强债转股交易的信息披露质量和信用记录管理，同时引入第三方信用评级机构开展信用风险评估，提高参与机构对债转股项目风险的识别能力，并对转股价格和过程实施有效监督，使得转股价格更加公平合理。另一方面，也要进一步理清债转股交易过程中定价机制、风险承担机制以及退出机制等方面存在的问题，完善相应配套政策，打消债转股各方顾虑，有效降低博弈成本。,20180702,02,07,"[""银行""]",以市场化方式化解债转股落地难,2018
污水处理、垃圾处理、节水、节能环保……国家发展改革委2日对外发布《关于创新和完善促进绿色发展价格机制的意见》，明确了我国在这些领域的价格改革方向。污水处理、垃圾处理、节水、节能环保……国家发展改革委2日对外发布《关于创新和完善促进绿色发展价格机制的意见》，明确了我国在这些领域的价格改革方向。根据意见，到2020年，我国将基本形成有利于绿色发展的价格机制、价格政策体系，促进资源节约和生态环境成本内部化的作用明显增强；到2025年，适应绿色发展要求的价格机制更加完善，并落实到全社会各方面各环节。“加快建立健全能够充分反映市场供求和资源稀缺程度、体现生态价值和环境损害成本的资源环境价格机制，将生态环境成本纳入经济运行成本，撬动更多社会资本进入生态环境保护领域，不断满足人民群众日益增长的优美生态环境需要，这是推进资源环境价格机制改革的基本取向。”国家发展改革委价格司司长岳修虎说。根据意见，在完善污水处理收费政策方面，建立城镇污水处理费动态调整机制、企业污水排放差别化收费机制、与污水处理标准相协调的收费机制，健全城镇污水处理服务费市场化形成机制，逐步实现城镇污水处理费基本覆盖服务费用，探索建立污水处理农户付费制度。在健全固体废物处理收费机制方面，建立健全城镇生活垃圾处理收费机制，完善危险废物处置收费机制，全面建立覆盖成本并合理盈利的固体废物处理收费机制，完善城镇生活垃圾分类和减量化激励机制，加快建立有利于促进垃圾分类和减量化、资源化、无害化处理的激励约束机制，探索建立农村垃圾处理收费制度。在建立有利于节约用水的价格机制方面，深入推进农业水价综合改革，完善城镇供水价格形成机制，全面推行城镇非居民用水超定额累进加价制度，建立有利于再生水利用的价格政策，保障供水工程和设施良性运行，促进节水减排和水资源可持续利用。在健全促进节能环保的电价机制方面，完善差别化电价政策、峰谷电价形成机制以及部分环保行业用电支持政策，充分发挥电力价格的杠杆作用，推动高耗能行业节能减排、淘汰落后，引导电力资源优化配置，促进产业结构、能源结构优化升级和相关环保业发展。同时，鼓励各地积极探索生态产品价格形成机制等各类绿色价格政策。,20180702,02,07,"[]",2020年我国将基本形成有利于绿色发展的价格机制,2018
29日，中国人民银行会同银保监会、证监会、国家发展改革委、财政部等联合召开全国深化小微企业金融服务电视电话会议。会议认为，小微企业是经济新动能培育的重要源泉。各部门要充分认识深化小微企业金融服务的重要性和艰巨性，把做好小微企业金融服务作为服务实体经济、防范化解金融风险的重要抓手，加大政策贯彻落实力度，切实改进小微企业金融服务。要坚持“量价”并重，平衡收益与风险，统筹综合成本与融资成本，兼顾商业可持续与履行社会责任，持续完善小微企业贷款成本管理长效机制，确保实现“两增两控”目标。要注重发挥财税政策的正向激励作用和融资担保基金的引导带动作用，落实“放管服”要求，创新支持方式，抓好政策落地见效，增强政策的精准性。中国人民银行行长易纲在会上表示，近期将安排增加支小、支农再贷款和再贴现限额各500亿元，合计1500亿元，调整后全国再贷款再贴现的总限额接近1万亿元，并从放宽申请条件、扩展抵质押品范围、加强精准聚焦、创新借用模式等方面对再贷款申请考核进行简化优化。同时，将商业银行单户授信500万元以下的小微企业贷款纳入中期借贷便利的合格抵押品范围；支持盘活信贷资源1000亿元以上，将小微企业贷款资产支持证券基础资产由单户授信100万元以下放宽至500万元以下；改进宏观审慎评估体系，增加小微企业贷款考核权重等政策措施。在会上，易纲提出，要坚持不懈把金融服务小微企业工作推向深入：一是增加小微企业贷款户数，二是扩大小微企业贷款投放，三是适度降低小微企业贷款成本，四是有效控制风险形成小微企业贷款的商业可持续长效机制。,20180630,30,06,"[""银行""]",五部门部署深化小微企业金融服务工作,2018
货币政策委员会二季度例会释放信号——日前召开的中国人民银行货币政策委员会2018年第二季度例会指出，要继续密切关注国际国内经济金融走势，加强形势预判和前瞻性预调微调。稳健的货币政策保持中性，要松紧适度，管好货币供给总闸门，保持流动性合理充裕，引导货币信贷及社会融资规模合理增长。本次例会“保持流动性合理充裕”的表述备受市场关注，这也与近期国务院常务会议精神一致。6月20日召开的国务院常务会议已经指出，要坚持稳健中性的货币政策，保持流动性合理充裕和金融稳定运行。在央行货币政策委员会2017年第四季度例会上，对于流动性的表述是：实施好稳健中性的货币政策，切实管住货币供给总闸门，维护流动性合理稳定。对于“流动性合理充裕”的表述该如何理解？中金固收团队认为，在当前内外风险兼具的情况下，货币政策应该更灵活。在提出“松紧适度”的同时，央行强调“管好货币供给总闸门”，这意味着不会太过宽松。恒大集团首席经济学家任泽平也认为，例会重新强调了继续深化供给侧结构性改革、打好防范化解金融风险攻坚战的要求，这也说明绝非全面放水。从央行近期的操作来看，央行综合运用各种货币政策工具，体现了保持流动性合理充裕、货币政策松紧适度的意图。今年以来，央行已经三次开展定向降准。从今年起，央行对普惠金融开始实施定向降准；随后又使用定向降准置换中期借贷便利(MLF)，为市场提供更多长期低成本资金；从7月5日起，央行还将针对“债转股”和小微企业融资实行定向降准，将释放约7000亿元资金。往年，一到年中时点，由于税期高峰、政府债券发行缴款等因素，流动性总是较为紧张。今年则不同，跨半年的流动性并没那么紧张。这是由于央行“早做打算”，进一步强化了预判和预调微调。6月19日，在开展1000亿元逆回购操作的基础上，央行又开展了1年期MLF操作2000亿元。在19日增量续作MLF后，6月份公开市场实现了净投放4035亿元。央行有关负责人表示，这是为了对冲税期高峰、政府债券发行缴款、逆回购到期等因素的影响，同时弥补银行体系中长期流动性缺口。另一值得注意的是，央行货币政策委员会二季度例会强调，综合运用多种货币政策工具，把握好结构性去杠杆的力度和节奏，促进经济平稳健康发展，稳定市场预期，打好防范化解金融风险攻坚战，守住不发生系统性金融风险的底线。与去年4季度相比，当时央行相关表述是“有效控制宏观杠杆率”。对于这样的变化，任泽平认为，这主要是因为目前宏观杠杆率已企稳，风险防控成效初显，新表述能够更好地稳定市场预期、防止发生处置风险的风险。这与央行第一季度货币政策执行报告所提的未来货币政策重心由平衡“稳增长、去杠杆、防风险”转向平衡“稳增长、调结构、防风险”相一致，任泽平预计，未来“紧信用”将进一步转为“结构性紧信用”，小微企业、新兴行业等政策支持主体和产能过剩、地方政府等抑制主体的信用环境可能出现分化。市场普遍预计，货币政策将更加注重结构调整，保持流动性合理充裕，接下来定向降准仍有空间。任泽平认为，下半年，随着宏观杠杆率企稳，经济下行压力不减，政策导向将逐渐由全面收紧转变为结构调整。,20180702,02,07,"[""银行""]",我国货币政策将保持中性且松紧适度,2018
近日，由中国旅游研究院主办，人民日报客户端旅游频道提供媒体支持的《中国入境旅游发展年度报告2018》(《入境游报告》)、《中国出境旅游发展年度报告2018》(《出境游报告》)发布会暨“一带一路”旅游合作研讨会在京举行。《入境游报告》指出，入境旅游市场是衡量国家旅游业发展水平的关键指标因素，是我国从旅游大国迈向旅游强国的固本之基，在我国旅游业发展中的地位十分重要且突出。回顾改革开放以来的40年发展历程，中国入境旅游在推动旅游接待体系构建、服务水平提升，以及在树立国际形象、弘扬中华文化、促进中外文化交流等方面均发挥了巨大的作用。改革开放40年后的今天，站在新的历史起点上，入境旅游工作依然是文化旅游系统工作的重中之重。《出境游报告》显示，总量上，结构上出国游的比例提升显著，客源产出上经济增长是出境旅游的主要推动因素，中西部地区与二三四线城市市场活跃度进一步上升，目的地消费行为显示出境游客对于体验当地人生活方式的需求逐渐增长，满意度上中国游客对各目的地总体及旅游服务质量的评价较高。在如何促进出境旅游持续发展与发挥其综合功能方面，《出境游报告》提出以下建议：旅游主管部门应倡导并践行自由、开放和公正的国际旅游环境；旅游目的地应提供更多让中国游客体验当地生活方式的旅游产品和有针对性的细节服务；旅游相关企业应围绕出境游客需求延伸产业链条、提升产品品质。,20180702,02,07,"[]",中国出境旅游市场与消费持续增长,2018
作为银行发起设立的债转股实施机构，金融资产投资公司是一类新型实施机构。从昨日开始，这类机构有了一套专门的“行为准则”。银保监会6月29日晚间发布《金融资产投资公司管理办法(试行)》(《办法》)，通过共计6章67条的内容，推动市场化、法治化银行债转股健康有序开展，规范银行债转股业务行为，提高债转股效率。设定具体设立要求防止“一哄而起”《办法》明确了金融资产投资公司的非银行金融机构属性，同时规定了设立金融资产投资公司应具备的一般性条件，包括符合要求的股东和注册资本，符合任职资格条件的董事、高级管理人员和合格从业人员，有效的公司治理、内控和风险管理制度等。“这主要是为了在满足机构设立需求的同时，防止‘一哄而起’，确保金融资产投资公司具备相应的风险抵御能力。”银保监会有关部门负责人指出。考虑到金融资产投资公司主要是作为银行业债转股实施机构，《办法》要求金融资产投资公司应由境内商业银行作为主要股东发起设立，但并不要求商业银行控股，允许其他符合条件的投资者投资入股金融资产投资公司，充分调动社会资金参与债转股的积极性。本着扩大对外开放的精神，《办法》对境外机构投资入股金融资产投资公司实行“国民待遇”，对外资持股比例没有作出限制。值得指出的是，为了推动债转股业务的顺利开展，《办法》在资金上鼓励金融资产投资公司充分利用各种市场化方式和渠道加以筹集。具体来看，金融资产投资公司资金筹集渠道可以包括这五类：允许面向合格投资者募集资金，充分运用私募资产管理产品支持实施债转股；允许设立附属机构申请成为私募股权投资基金管理人，通过设立私募股权投资基金开展债转股业务；明确可以通过发行金融债券募集债转股资金；允许可以通过债券回购、同业拆借和同业借款等业务融入资金；在确保资产洁净转让和真实出售的前提下，允许银行理财资金依法依规用于交叉实施债转股。推四大举措防范道德风险《办法》再次强调债转股必须遵循市场化、法治化原则。要求金融资产投资公司与各参与主体在依法合规前提下，通过自愿平等协商开展债转股业务，确保洁净转让、真实出售，坚持市场化定价，切实防止企业风险向银行业金融机构和社会公众转移，防范利益冲突和利益输送，防范相关道德风险。上述负责人介绍，为防范债转股过程中的风险特别是道德风险，《办法》主要做了以下规定：一是要求转股债权应当坚持通过市场机制发现合理价格，洁净转让、真实出售，有效实现风险隔离。强调应当审慎评估债权质量和风险，坚持市场化定价，实现资产和风险真实完全转移。二是要求金融资产投资公司应当与其股东银行及其关联机构建立防止利益冲突和利益输送的机制。股东银行对金融资产投资公司所投资企业不得降低授信标准。债权出让方银行不得提供直接或间接融资，不得承担显性或者隐性回购义务，防止虚假交易，掩盖不良资产。三是明确转股对象和转股债权范围。鼓励对发展前景良好但遇到暂时困难的优质企业实施债转股，禁止对僵尸企业、失信企业、金融企业等实施债转股。四是要求金融资产投资公司建立全面规范的业务经营制度，明确尽职调查、审查审批与决策流程，建立严格的关联交易管理制度，遵循商业原则，防止掩盖风险、规避监管和监管套利。对于金融资产投资公司自身的风险管理，《办法》也从公司治理结构、风险管理框架、资本管理、信用风险、流动性风险、操作风险管理等方面提出具体要求。例如，《办法》要求金融资产投资公司应当与股东银行建立“防火墙”，在资金、人员、业务方面有效隔离，防范风险传染，并对附属机构进行并表管理。再如，《办法》规定，金融资产投资公司应当按要求建立资本管理体系，确立资本补充和约束机制，有关资本充足率、杠杆率和财务杠杆率水平要求参照金融资产管理公司相关规定执行。,20180630,30,06,"[""银行""]",银行债转股实施机构“行为准则”出炉 防止一哄而起,2018
